Posicion,Modelo,Accuracy,Balanced_Accuracy,Precision_clase1,Recall_clase1,F1_clase1,AUC_ROC
1,Random Forest,0.6178834182229768,0.5530536537036187,0.11244377811094453,0.4740834386852086,0.18177411536597188,0.594007296154337
2,SVM,0.622184493491794,0.5514259908053116,0.11209259823332318,0.46523388116308473,0.18065783014236622,0.5862352509994022
3,Gradient Boosting,0.6544425580079231,0.5509025580545935,0.11451942740286299,0.4247787610619469,0.18040268456375838,0.5973649353335416
4,KNN,0.6533106960950764,0.5411617268110097,0.10989010989010989,0.404551201011378,0.17283283823926546,0.555848647860283
5,XGBoost,0.7616298811544991,0.5351024485431266,0.11884057971014493,0.25916561314791403,0.16295707472178061,0.5798770479178676
