ID1,CASEID,IDX94,S410B,S411B,S411F,S411G,S411H,S411I,S411J,S411K,S411L,S411BA,S411CA,S411DA,S411EA,S413,S422I,S426B,S426E,S426FA,S426FB,S426GA,S426GB,S426GC,S426GD,S426GE,S430C,S430D,S431A,S425A,S432,S432AD,S432AM,S432AY,S427DA,S427DB,S427DC,S427DD,S427DE,S427DF,S427DG,S427F,S435,S436C,S440,S441,S442,S446AA,S446AB,S446A,S447,S448A,S448B,QI411_M,QI411F,QI422A_A,QI422A_B,QI422A_C,QI422A_D,QI440B
2023,      483807501  1,1,7,1,1,1,1,1,1,1,1,2,2,2,2,1,0, ,1, , ,0,0,0,0,0,1,1,0, ,1, , , ,0,0,1,0,0,0,0,0, ,0,9,1,24, , , ,1, , ,1,2,1,2, , , 
2023,      483900601  1,1,9,1,1,1,1,1,1,1,1,2,2,98,98,1,0,96, , , ,0,0,0,0,0,2, , , ,1, , , ,0,0,0,0,0,0,0, , ,1,7,1,25, , , ,1, , ,8, ,1,2, , , 
2023,      483900701  2,1,9,1,1,1,1,1,1,1,1,4,4,4,4,1,0, ,0, ,100,0,0,0,0,0,1,1,0, ,1, , , ,0,0,1,0,0,0,0,0, ,0, ,1,24, , , ,1, , ,1,4,1,1,1,2, 
2023,      483902801  4,1,9,1,1,1,1,1,1,1,1,2,2,2,2,1,0, , , ,100,0,0,0,0,0,1,1,0, ,1, , , ,0,0,0,0,0,0,0, , ,1,1,1,24, , , ,1, , ,1,2,1,1,1,2, 
2023,      483902801  4,2, , , , , , , , , , , , , , , , , , ,100, , , , , ,1,1, , ,1, , , , , , , , , , , , ,1,7,0, , , , ,1, , , , , , , , , 
2023,      483905701  2,1,9,1,1,1,1,1,1,1,1,2,2,2,2,1,0,96, , , ,0,0,0,0,0,1,1, , ,1, , , ,0,0,0,0,0,0,0, , ,1,6,1,24, , , ,1, , ,1,2,1,2, , , 
2023,      483905801  2,1,9,1,1,1,1,1,1,1,1,2,2,2,2,0,0,14, , ,100,0,0,0,0,0,1,1,0, ,0, , , ,0,0,0,0,0,0,0, , ,0,1,1,26, , , ,1, , ,1,3,1,2, , , 
2023,      484002601  2,1,8,1,1,1,1,1,1,1,1,2,2,2,2,1,0, ,0, ,100,0,0,0,0,0,1,1,0, ,1, , , ,0,0,0,0,0,0,0, , ,0,12,1,25, , , ,1, , ,1,2,1,1,1,1, 
2023,      484004001  2,1,9,1,1,1,1,1,1,1,1,4,4,4,4,1,0, , , ,100,1,0,0,0,0,1,1,0, ,1, , , ,0,0,0,0,0,0,0, , ,1, ,1,24, , , ,0, , ,1,4,1,2, , , 
2023,      484004101  1,1,9,1,1,1,1,1,1,1,1,3,3,3,3,0, ,14, , ,100,0,0,0,0,0,1,1,0, ,0, , , ,0,0,0,0,0,0,0, , ,1, ,1,26, , , ,1, , ,1,3,1,2, , , 
2023,      484005301  2,1,9,1,1,1,1,1,1,1,1,1,1,98,98,0,0,14, , ,100,0,0,0,0,0,1,1,0, ,0, , , ,0,0,0,0,0,0,0, , ,1, ,1,26, , , ,0, , ,1,98,1,1,1,1, 
2023,      484007101  2,1,9,1,1,1,1,1,1,1,1,3,3,3,3,0,0,14, , ,100,0,0,0,0,0,2, ,0, ,1, , , ,0,0,0,0,0,0,0, , ,1, ,1,25, , , ,1, , ,1,3,1,2, , , 
2023,      484101201  2,1,9,1,1,1,1,1,1,1,1,2,2,2,2,0, ,14, , ,100,0,0,0,0,0,1,1,1, ,0, , , ,0,0,0,0,0,0,0, , ,1, ,1,26, , , ,0, , ,1,2,1,2, , , 
2023,      484101201  2,2, , , , , , , , , , , , , , , ,14, , ,100, , , , , ,1,1, , ,0, , , , , , , , , , , , ,1,9,1,22, , , ,1, , , , , , , , , 
2023,      484101301  2,1,8,1,1,1,1,1,1,0,0,4,4,4,4,1,0, , , ,100,0,0,0,0,0,1,1,0, ,1, , , ,0,0,0,0,0,0,0, , ,1, ,0, , , , ,0, , ,1,4,1,1,1,1, 
2023,      484102701  1,1,9,1,1,1,1,1,1,1,1,3,3,3,3,1,0,14,0, ,100,0,0,0,0,0,1,1,0, ,0, , , ,0,0,0,0,0,0,1,1, ,0,9,1,24, , , ,1, , ,1,3,1,1,1,1, 
2023,      484103001  1,1,9,1,1,1,1,1,1,1,1,3,3,3,3,1, ,20, , ,102,0,0,0,0,0,1,1,1, ,1, , , ,0,0,0,0,0,0,0, , ,1,9,1,31, , , ,1, , ,1,3,2, , , , 
2023,      484103201  2,1,9,1,1,1,1,1,1,0,0,2,2,2,2,1,0, ,1, , ,0,0,0,0,0,1,1,0, ,1, , , ,0,0,0,0,0,0,0, , ,0, ,0, , , , ,0, , ,1,2,1,1,1,1, 
2023,      484103201  2,2, , , , , , , , , , , , , , , , ,1, , , , , , , ,1,1, , ,1, , , , , , , , , , , , ,0,9,0, , , , ,1, , , , , , , , ,2
2023,      484103601  2,1,9,1,1,1,1,1,1,1,1,3,3,3,3,1,0, , , ,101,0,0,0,0,0,1,1,0, ,1, , , ,0,0,0,0,0,0,0, , ,1,9,1,24, , , ,1, , ,1,3,1,2, , ,1
2023,      484103801  2,1,9,1,1,1,1,1,1,1,1,2,2,2,2,1,0, , , ,100,0,0,0,0,0,1,1,0, ,1, , , ,0,0,0,0,0,0,0, , ,1, ,1,24, , , ,0, , ,1,2,1,2, , , 
2023,      484201801  1,1,8,1,1,1,1,1,1,1,1,6,6,6,6,1,0, ,1, , ,0,0,0,0,0,1,1,1, ,1, , , ,0,0,0,0,0,0,0, , ,0,9,1,24, , , ,1, , ,1,6,1,2, , , 
2023,      484203201  3,1,8,1,1,1,1,1,1,1,1,7,7,7,7,1,0, , , ,100,0,0,0,0,0,1,1,0, ,1, , , ,0,0,0,0,0,0,0, , ,0,9,1,24, , , ,1, , ,1,7,1,1,1,1,1
2023,      484205201  1,1,9,1,1,1,1,1,1,1,1,6,6,6,6,1,0, ,0, ,100,0,1,0,0,0,1,1,1, ,1, , , ,0,0,0,0,0,0,0, , ,0,9,1,24, , , ,1, , ,1,6,1,1,1,1, 
2023,      484205601  2,1,9,1,1,1,1,1,1,1,1,3,3,3,3,1,0, , , ,100,0,0,0,0,0,1,1,1, ,1, , , ,0,0,0,0,0,0,0, , ,1,8,1,24, , , ,1, , ,1,3,1,2, , , 
2023,      484205601  7,1,9,1,1,1,1,1,1,1,1,6,6,6,6,1,0, ,0, ,100,0,0,0,0,0,1,1,0, ,1, , , ,0,0,0,0,0,0,0, , ,1, ,1,21, , , ,0, , ,1,6,1,1,1,2,2
2023,      484207301  2,1,9,1,1,1,1,1,1,1,1,4,4,4,4,1,0, ,0, ,100,0,0,0,0,0,1,1,1, ,0, , , ,0,0,0,0,0,0,0, , ,0, ,1,24, , , ,1, , ,1,4,1,2, , , 
2023,      484300901  2,1,7,1,1,1,1,1,0,0,1,6,6,6,6,0,0,14,0, ,100,0,0,0,0,0,1,1,8, ,0, , , ,0,0,0,0,0,0,0, , ,0,7,1,26, , , ,1, , ,1,6,1,2, , , 
2023,      484301301  2,1,9,1,1,1,1,1,1,1,1,3,3,3,3,1,0, ,1, , ,0,0,0,0,0,1,1,0, ,1, , , ,0,0,0,0,0,0,0, , ,0,9,1,24, , , ,1, , ,8, ,1,2, , , 
2023,      484301601  1,1,9,1,1,1,1,1,1,1,1,2,2,2,2,0,0,14, , ,100,0,0,0,0,0,1,1,0, ,0, , , ,0,0,0,0,0,0,0, , ,1, ,1,26, , , ,1, , ,1,2,1,2, , , 
2023,      484302301  1,1,9,1,1,1,1,1,1,1,1,6,6,6,6,1,0, , , ,100,0,0,0,0,0,1,1,0, ,1, , , ,0,0,0,0,0,0,0, , ,1,9,1,24, , , ,1, , ,1,6,1,2, , ,1
2023,      484302501  1,1,9,1,1,1,1,1,0,0,1,3,3,3,3,1,0,12, , , ,0,0,0,0,0,1,1, , ,1, , , ,0,0,0,0,0,0,0, , ,0,6,1,24, , , ,1, , ,1,3,1,1,1,1,2
2023,      484302501  1,2, , , , , , , , , , , , , , , , , , ,100, , , , , ,1,1, , ,1, , , , , , , , , , , , ,1,5,1,24, , , ,1, , , , , , , , , 
2023,      484303301  1,1,9,1,1,1,1,1,1,1,1,5,5,5,5,1,0, ,1, , ,0,0,0,0,0,2, ,0, ,1, , , ,0,0,0,0,0,0,0, , ,1, ,1,24, , , ,0, , ,2, ,1,2, , , 
2023,      484304501  1,1,9,1,1,1,1,1,1,0,0,3,3,3,3,1,0, , , ,100,0,0,0,0,0,1,1,0, ,1, , , ,0,0,0,0,0,0,0, , ,1, ,0, , , , ,0, , ,1,3,1,2, , , 
2023,      484403501  2,1,7,1,1,1,1,1,1,1,1,2,2,2,2,1,0, ,1, , ,0,0,0,0,0,1,1,0, ,1, , , ,0,0,0,0,0,0,0, , ,0, ,1,25, , , ,1, , ,1,2,1,1,1,2, 
2023,      484404501  2,1,9,1,1,1,1,1,1,1,1,2,2,2,2,1,0, ,1, , ,0,0,0,0,0,1,1,0, ,1, , , ,0,0,0,0,0,0,0, , ,0, ,1,24, , , ,1, , ,1,2,1,2, , , 
2023,      484405101  1,1,9,1,1,1,1,1,1,0,0,4,4,4,4,1,0, ,1, , ,0,0,0,0,0,1,1,0, ,1, , , ,0,0,0,0,0,0,0, , ,0, ,0, , , , ,0, , ,1,4,1,2, , , 
2023,      484405101  1,2, , , , , , , , , , , , , , , , ,1, , , , , , , ,1,1, , ,1, , , , , , , , , , , , ,0,9,0, , , , ,1, , , , , , , , , 
2023,      484405901  2,1,9,1,1,1,1,1,1,1,1,1,1,1,1,0,0,96, , , ,0,0,0,0,0,1,1, , ,0, , , ,0,0,0,0,0,0,0, , ,1, ,1,96, , , ,0, , ,8, ,1,1,1,1,1
2023,      484502101  1,1,9,1,1,1,1,1,1,1,1,3,3,3,3,1,0, ,0, ,100,0,0,0,0,0,1,1,0, ,1, , , ,0,0,0,0,0,0,0, , ,0,7,1,24, , , ,1, , ,1,3,1,1,1,2, 
2023,      484502201  2,1,9,1,1,1,1,1,1,1,1,3,3,8,8,1,0, ,1, , ,0,0,0,0,0,1,1,0, ,1, , , ,0,0,0,0,0,0,0, , ,0, ,1,24, , , ,0, , ,1,8,1,1,1,1, 
2023,      484502201  2,2, , , , , , , , , , , , , , , , ,0, ,100, , , , , ,1,1, , ,1, , , , , , , , , , , , ,0,9,1,24, , , ,1, , , , , , , , , 
2023,      484502301  1,1,9,1,1,1,1,1,1,0,0,2,2,2,2,1,0, ,0, ,100,0,0,0,0,0,1,1,1, ,1, , , ,0,0,0,0,0,0,0, , ,0,7,0, , , , ,1, , ,1,2,1,2, , , 
2023,      484502301  7,1,9,1,1,1,1,1,1,1,1,4,4,4,4,1,0, , , ,100,0,0,0,0,0,2, ,0, ,1, , , ,0,0,0,0,0,0,0, , ,1, ,1,24, , , ,0, , ,1,4,1,2, , , 
2023,      484506601  1,1,9,1,1,0,0,1,1,1,1,1,1, , ,1,0, ,0, ,100,0,0,0,0,0,1,1,0, ,1, , , ,0,0,0,0,0,0,0, , ,0, ,1,24, , , ,1, , ,1,1,1,2, , , 
2023,      484506701  1,1,9,1,1,1,1,1,1,1,1,2,2,2,2,1,0, , , ,100,0,0,0,0,0,1,1,0, ,1, , , ,0,0,0,0,0,0,0, , ,1, ,1,24, , , ,1, , ,1,2,1,2, , ,1
2023,      484507001  4,1,9,1,1,0,0,1,1,1,1,3,3, , ,1, , ,0, ,100,0,1,1,1,0,1,1,0, ,1, , , ,0,0,0,0,0,0,0, , ,0, ,1,24, , , ,0, , ,1,3,1,2, , , 
2023,      484508101  1,1,9,1,1,1,1,1,1,1,1,2,2,2,2,1,0, , , ,102,0,0,0,0,0,2, ,0, ,1, , , ,0,0,0,0,0,0,0, , ,1,9,1,24, , , ,1, , ,1,2,1,1,1,1, 
2023,      484600901  2,1,8,1,1,1,1,1,1,1,1,1,1,1,1,0,0,14,0, ,100,1,0,0,0,0,1,1,1, ,1, , , ,0,0,0,0,0,0,0, , ,0, ,0, , , , ,1, , ,1,1,1,2, , , 
2023,      484600901  2,2, , , , , , , , , , , , , , , , , , ,100, , , , , ,1,1, , ,1, , , , , , , , , , , , ,1,9,0, , , , ,1, , , , , , , , ,2
2023,      484601101  2,1,9,1,1,1,1,1,0,1,1,1,1,1,1,0,0,14, , ,100,0,0,0,0,0,1,1,0, ,1, , , ,0,0,0,0,0,0,0, , ,1,9,0, , , , ,1, , ,1,1,1,2, , ,1
2023,      484601601  1,1,7,1,1,1,1,1,1,1,1,3,3,3,3,1,0, ,0, ,100,0,0,0,0,0,1,1,1, ,1, , , ,0,0,0,0,0,0,0, , ,0, ,1,21, , , ,1, , ,1,3,1,2, , , 
2023,      484601601  1,2, , , , , , , , , , , , , , , , ,1, , , , , , , ,1,1, , ,1, , , , , , , , , , , , ,0,10,0, , , , ,1, , , , , , , , ,1
2023,      484604401  2,1,9,1,1,1,1,1,1,1,1,3,3,3,3,1,0, ,1, , ,0,0,0,0,0,1,1,0, ,1, , , ,0,0,0,0,0,0,0, , ,0, ,1,25, , , ,1, , ,1,3,1,2, , ,2
2023,      484605101  2,1,9,1,1,1,1,1,0,1,1,5,5,5,5,0,0,14, , ,100,0,0,0,0,0,1,1,0, ,0, , , ,0,0,0,0,0,0,0, , ,1, ,1,22, , , ,1, , ,1,5,1,2, , ,1
2023,      484605601  2,1,9,1,1,1,1,1,1,1,1,5,5,5,5,1,0, ,0, ,100,0,0,0,0,0,1,1,0, ,1, , , ,0,0,0,0,0,0,0, , ,0, ,0, , , , ,1, , ,1,5,1,1,1,1,1
2023,      484613101  2,1,9,1,1,1,1,1,1,1,1,3,3,2,2,1,0, , , ,100,0,0,0,0,0,1,1,0, ,1, , , ,0,0,0,0,1,0,0,1, ,1,10,1,21, , , ,1, , ,1,2,1,1,1,1,2
2023,      484613101  2,2, , , , , , , , , , , , , , , , , , ,100, , , , , ,1,1, , ,1, , , , , , , , , , , , ,1,10,1,21, , , ,1, , , , , , , , ,2
2023,      484702901  1,1,8,1,1,1,1,1,0,0,0,2,2,2,2,0,5,14,0, ,100,0,1,0,0,0,1,1,1, ,0, , , ,1,0,0,0,0,0,0,1, ,0, ,0, , , , ,1, , ,1,2,1,1,1,1, 
2023,      484704101  2,1,9,1,1,1,1,1,1,1,1,2,2,2,2,1,0, , , ,100,0,0,0,0,0,1,1,1, ,1, , , ,0,0,0,0,0,0,0, , ,1,8,0, , , , ,1, , ,1,2,1,2, , , 
2023,      484705901  2,1,9,1,1,1,1,1,1,1,1,5,5,5,5,1,0, , , ,100,1,0,0,0,0,1,1,0, ,1, , , ,0,0,1,0,1,0,0,1, ,1,6,0, , , , ,1, , ,1,5,1,1,1,2, 
2023,      484708101  3,1,9,1,1,1,1,1,1,1,1,5,4,5,5,0,0,14, , ,100,0,0,0,0,0,2, ,0, ,0, , , ,0,0,0,0,0,0,0, ,3, , ,1,22, , , , , , ,1,5,1,2, , , 
2023,      484708101  4,1,8,1,1,1,1,1,1,1,1,5,5,5,5,1,0, ,1, , ,0,0,0,0,0,1,1,0, ,1, , , ,0,0,0,0,0,0,0, , ,0,9,0, , , , ,1, , ,1,5,1,2, , ,1
2023,      484710201  1,1,9,1,1,1,1,1,1,1,1,4,4,4,4,1,0, ,0, ,100,0,0,0,0,0,1,1,1, ,1, , , ,0,0,0,0,0,0,0, , ,0, ,1,24, , , ,1, , ,1,4,1,1,1,1, 
2023,      484800901  2,1,9,1,1,1,1,1,1,1,1,3,3,7,7,0,0,14,0, ,100,0,0,0,0,0,1,1,1, ,0, , , ,0,0,0,0,0,0,0, , ,0, ,0, , , , ,1, , ,1,7,1,2, , , 
2023,      484800901  2,2, , , , , , , , , , , , , , , ,14,1, , , , , , , ,1,1, , ,0, , , , , , , , , , , , ,0,9,1,22, , , ,1, , , , , , , , , 
2023,      484807201  2,1,8,1,1,1,1,1,0,0,0,3,3,3,3,0,0,14, , ,100,1,0,0,0,0,1,1,1, ,0, , , ,0,0,0,0,0,0,0, , ,1,9,1,22, , , ,1, , ,8, ,1,2, , , 
2023,      484808701  1,1,6,1,1,1,1,1,1,0,0,4,4,4,4,1,0, ,0, ,100,0,0,0,0,0,1,1,1, ,1, , , ,0,0,0,0,0,0,0, , ,0,9,0, , , , ,1, , ,2, ,1,2, , , 
2023,      484901501  2,1,9,1,1,1,1,1,1,1,1,2,2,2,2,0,2,20,1, , ,0,0,0,0,0,1,1,1, ,0, , , ,0,0,0,0,0,0,0, , ,0,9,1,22, , , ,1, , ,1,2,1,1,1,1, 
2023,      484910401  1,1,7,1,1,1,1,1,1,1,0,2,2,2,2,1,0, , , ,100,0,0,0,0,0,1,1,1, ,1, , , ,0,0,0,0,0,0,0, , ,0,4,0, , , , ,1, , ,1,2,1,2, , , 
2023,      484913501  2,1,9,1,1,1,1,1,1,1,1,4,2,2,2,1,0,14, , ,100,0,0,0,0,0,1,1,1, ,0, , , ,0,0,0,0,0,0,0, , ,1, ,1,22, , , ,1, , ,1,2,1,2, , , 
2023,      484916401  6,1,8,1,1,1,1,1,1,1,1,3,3,3,3,1,0, ,0, ,100,1,0,0,0,0,1,1,0, ,1, , , ,0,0,1,0,1,0,0,1, ,0, ,0, , , , ,0, , ,1,3,1,2, , , 
2023,      484916401  6,2, , , , , , , , , , , , , , , , ,0, ,100, , , , , ,1,1, , ,1, , , , , , , , , , , , ,0,8,0, , , , ,1, , , , , , , , ,1
2023,      484920101  2,1,9,1,1,1,1,1,0,1,1,4,4,7,7,1,0, ,0, ,100,0,0,0,0,0,1,1,1, ,1, , , ,0,0,0,0,0,0,0, , ,0, ,1,25, , , ,0, , ,1,7,1,2, , , 
2023,      485002001  2,1,8,1,1,1,1,1,1,0,1,4,4,4,4,1,0,24,0, ,100,1,0,0,0,0,1,1,1, ,1, , , ,0,0,0,0,0,0,0, , ,0,8,1,21, , , ,1, , ,1,4,1,2, , , 
2023,      485007101  1,1,9,1,1,1,1,1,1,1,1,3,3,3,3,1,0, , , ,100,0,0,0,0,0,1,1,0, ,1, , , ,0,0,0,0,0,0,0, , ,1, ,1,21, , , ,1, , ,2, ,1,2, , ,1
2023,      485008201  2,1,8,1,1,1,1,1,1,1,1,3,3,3,3,1,0, ,0, ,100,0,0,0,0,0,2, ,0, ,1, , , ,0,0,0,0,0,0,0, , ,0,7,0, , , , ,1, , ,1,3,1,2, , ,1
2023,      485010101  2,1,9,1,1,1,1,1,1,1,1,2,2,2,2,1,0, , , ,100,1,0,0,0,0,1,1,1, ,1, , , ,0,0,0,0,1,0,0,0, ,1,12,0, , , , ,1, , ,1,2,1,2, , , 
2023,      485010801  1,1,9,1,1,1,1,1,0,1,1,2,2,2,2,1,0, ,0, ,100,0,0,0,0,1,1,1,0, ,1, , , ,0,0,0,0,0,0,0, , ,0,9,0, , , , ,1, , ,1,2,1,2, , ,2
2023,      485017401  2,1,9,1,1,1,1,1,1,1,1,2,2,2,2,1,0, , , ,100,0,0,0,0,0,1,1,0, ,1, , , ,0,0,0,0,0,0,0, , ,1,7,1,25, , , ,1, , ,1,2,1,1,1,1, 
