ID1,HHID,QHCLUSTER,QHNUMBER,QHHOME,QH91,QH93,QH95,QH96,QH96A,QH96M,QH96AC,QH97D,QH97M,QH97A,QH99,QH101,QH103,QH106,QHVIOLEN,QH100B
2025,      435112401,4351,124,1,2,2,1,1,6,0,2, , , , ,1,2,2,1,2
2025,      435112501,4351,125,1,2,2,1,2,12,0,2, , , , ,1,2,1,2,1
2025,      435200501,4352,5,1,2,2,1,2,0,11,2, , , , ,1,2,1,2,2
2025,      435203001,4352,30,1,2,2,2, , , , , , , , ,2,2, ,2,2
2025,      435204001,4352,40,1, ,2,2, , , , , , , , ,2,2, ,0, 
2025,      435205401,4352,54,1, ,2,2, , , , , , , ,1,2,2, ,0, 
2025,      435212601,4352,126,1,2,2,2, , , , , , , , ,2,2, ,2,2
2025,      435214301,4352,143,1,2,2,1,2,1,4,2, , , , ,1,2,2,2,1
2025,      435214501,4352,145,1, ,2,2, , , , , , , ,2,2,2, ,0, 
2025,      435215701,4352,157,1, ,2,2, , , , , , , , ,2,2, ,2,2
2025,      435300501,4353,5,1, ,2,2, , , , , , , ,2,2,2, ,0, 
2025,      435303501,4353,35,1, ,2,2, , , , , , , ,2,2,2,2,2,1
2025,      435307201,4353,72,1, ,2,2, , , , , , , , ,1,2, ,2,2
2025,      435308201,4353,82,1, ,2,2, , , , , , , , ,1,2,2,0,2
2025,      435309901,4353,99,1, ,2,2, , , , , , , , ,2,2,2,2,1
2025,      435310301,4353,103,1, ,2,1,1,2,0,2, , , , ,1,2,2,1,1
2025,      435312201,4353,122,1,2,2,2, , , , , , , , ,2,2, ,2,2
2025,      435313601,4353,136,1, ,2,2, , , , , , , , ,2,2,2,2,2
2025,      435313701,4353,137,1,2,2,2, , , , , , , , ,1,2,2,2,2
2025,      435314401,4353,144,1, ,2,2, , , , , , , , ,2,2,2,2,1
2025,      435402401,4354,24,1,2,2,2, , , , , , , , ,2,2,2,2,2
2025,      435402501,4354,25,1,2,2,2, , , , , , , , ,2,2, ,2,2
2025,      435402601,4354,26,1,2,2,1,2,13,4,2, , , , ,2,2, ,4,2
2025,      435402701,4354,27,1,2,2,1,2,8,4,2, , , , ,2,2,2,2,2
2025,      435402801,4354,28,1,2,2,2, , , , , , , , ,1,2,2,4,2
2025,      435404801,4354,48,1,2,2,2, , , , , , , , ,2,2,2,2,1
2025,      435404901,4354,49,1, ,2,1,2,2,4,2, , , , ,1,2,2,2,1
2025,      435405001,4354,50,1,2,2,2, , , , , , , , ,2,2,2,1,1
2025,      435405101,4354,51,1,2,2,1,1,2,3,2, , , , ,1,2,2,1,1
2025,      435405201,4354,52,1, ,2,2, , , , , , , , ,2,2, ,0, 
