ID1,HHID,HVIDX,QHCLUSTER,QHNUMBER,QHHOME,PS100C1_A,PS100C1_M,PS100C_1S,PS8
2025,      434505801,3,4345,58,1,0,1,2,1
2025,      434510601,5,4345,106,1,0,3,2,1
2025,      434601401,5,4346,14,1,0,3,2,1
2025,      434602401,6,4346,24,1,2,4,1,1
2025,      434602401,7,4346,24,1,0,6,2,2
2025,      434604801,3,4346,48,1,1,1,2,1
2025,      434606701,6,4346,67,1,2,0,2,1
2025,      434607001,6,4346,70,1,1,4,2,1
2025,      434611301,9,4346,113,1,0,2,2,1
2025,      434617601,7,4346,176,1,0,1,2,1
2025,      434808001,5,4348,80,1,1,6,2,1
2025,      434908701,5,4349,87,1,0,10,2,1
2025,      435003401,4,4350,34,1,0,3,2,1
2025,      435112501,5,4351,125,1,1,2,2,1
2025,      435214301,6,4352,143,1,0,7,2,1
2025,      435303501,3,4353,35,1,0,1,2,1
2025,      435309901,5,4353,99,1,0,7,2,1
2025,      435310301,4,4353,103,1,1,1,2,1
2025,      435314401,3,4353,144,1,0,2,2,1
2025,      435404801,4,4354,48,1,0,3,1,1
2025,      435404801,5,4354,48,1,0,2,2,2
2025,      435404901,6,4354,49,1,0,4,2,1
2025,      435405001,2,4354,50,1,0,6,2,1
2025,      435405101,4,4354,51,1,0,1,2,1
2025,      435412101,5,4354,121,1,1,4,1,1
2025,      435412101,6,4354,121,1,0,2,2,2
2025,      435412201,4,4354,122,1,1,10,2,1
2025,      435506701,4,4355,67,1,0,5,2,1
2025,      435506801,3,4355,68,1,0,7,2,1
2025,      435506901,3,4355,69,1,0,11,2,1
2025,      435512801,6,4355,128,1,1,1,2,1
2025,      435516101,3,4355,161,1,1,3,2,1
2025,      435516901,7,4355,169,1,1,5,2,1
2025,      435517001,6,4355,170,1,1,1,1,1
2025,      435517001,8,4355,170,1,0,6,2,2
2025,      435603601,5,4356,36,1,1,11,1,1
2025,      435603601,8,4356,36,1,0,1,2,2
2025,      435608701,5,4356,87,1,0,1,2,1
2025,      435616301,3,4356,163,1,1,10,1,1
2025,      435616301,4,4356,163,1,0,9,2,2
2025,      435804401,5,4358,44,1,0,2,2,1
2025,      435907801,4,4359,78,1,0,4,2,1
2025,      435908201,4,4359,82,1,1,3,2,1
2025,      435909001,2,4359,90,1,2,1,2,1
2025,      435913701,1,4359,137,1,0,1,2,1
2025,      436012101,3,4360,121,1,0,2,2,1
2025,      436103601,3,4361,36,1,0,10,2,1
2025,      436103801,4,4361,38,1,1,0,2,1
2025,      436106501,5,4361,65,1,0,6,2,1
2025,      436113801,4,4361,138,1,1,10,2,1
2025,      436201101,6,4362,11,1,0,2,2,1
2025,      436201301,4,4362,13,1,1,8,2,1
2025,      436204101,7,4362,41,1,0,11,2,1
2025,      436210201,4,4362,102,1,2,6,2,1
2025,      436304001,3,4363,40,1,0,2,2,1
