ID1,HHID,HVIDX,QHCLUSTER,QHNUMBER,QHHOME,PS102_1A,PS102_1M,PS102_1S,PS4
2025,      434501401,6,4345,14,1,1,5,2,1
2025,      434503001,8,4345,30,1,0,1,2,1
2025,      434503801,3,4345,38,1,0,6,2,1
2025,      434601401,5,4346,14,1,0,3,2,1
2025,      434602401,2,4346,24,1,1,3,1,1
2025,      434602401,5,4346,24,1,4,4,1,2
2025,      434602401,6,4346,24,1,1,10,2,3
2025,      434604801,3,4346,48,1,1,5,2,1
2025,      434611301,6,4346,113,1,3,5,1,1
2025,      434611301,10,4346,113,1,3,11,2,2
2025,      434617601,6,4346,176,1,5,1,2,1
2025,      434708101,5,4347,81,1,0,9,2,1
2025,      434708801,5,4347,88,1,2,4,2,1
2025,      434808001,5,4348,80,1,0,6,2,1
2025,      434815701,4,4348,157,1,0,4,2,1
2025,      434903501,3,4349,35,1,2,6,1,1
2025,      434903501,4,4349,35,1,0,1,2,2
2025,      434908701,4,4349,87,1,0,10,1,1
2025,      434908701,5,4349,87,1,0,10,2,2
2025,      435000701,4,4350,7,1,2,8,2,1
2025,      435001401,3,4350,14,1,4,0,2,1
2025,      435001501,4,4350,15,1,3,0,2,1
2025,      435003401,4,4350,34,1,0,2,2,1
2025,      435003601,3,4350,36,1,1,4,2,1
2025,      435009301,4,4350,93,1,3,3,2,1
2025,      435102201,4,4351,22,1,3,0,2,1
2025,      435106101,5,4351,61,1,1,6,2,1
2025,      435106801,3,4351,68,1,3,6,2,1
2025,      435108001,2,4351,80,1,2,0,2,1
2025,      435111401,5,4351,114,1,2,0,2,1
2025,      435112401,2,4351,124,1,1,2,2,1
2025,      435112501,5,4351,125,1,1,3,2,1
2025,      435200501,4,4352,5,1,0,11,2,1
2025,      435214301,6,4352,143,1,0,2,2,1
2025,      435307201,3,4353,72,1,2,0,2,1
2025,      435308201,4,4353,82,1,1,1,2,1
2025,      435310301,4,4353,103,1,1,1,2,1
2025,      435313701,4,4353,137,1,2,2,2,1
2025,      435402801,5,4354,28,1,0,2,1,1
2025,      435402801,6,4354,28,1,0,2,1,2
2025,      435402801,7,4354,28,1,0,2,2,3
2025,      435404901,5,4354,49,1,0,2,1,1
2025,      435404901,6,4354,49,1,0,2,2,2
2025,      435405101,4,4354,51,1,0,2,2,1
2025,      435412101,5,4354,121,1,2,0,2,1
2025,      435412201,4,4354,122,1,1,7,2,1
2025,      435412401,4,4354,124,1,1,0,2,1
2025,      435506801,3,4355,68,1,0,1,2,1
2025,      435506901,3,4355,69,1,1,3,2,1
2025,      435512701,4,4355,127,1,1,0,2,1
2025,      435512801,4,4355,128,1,2,5,1,1
2025,      435512801,5,4355,128,1,2,6,1,2
2025,      435512801,6,4355,128,1,0,7,2,3
