ID1,QHCLUSTER,QHNUMBER,QHHOME,PS107_1A,PS107_1M,PS107_1S,PS6,HVIDX,HHID
2023,21,51,1,1,0,2,1,7,      002105101
2023,21,112,1,0,3,2,1,5,      002111201
2023,69,1,1,0,3,2,1,4,      006900101
2023,69,4,1,0,4,2,1,3,      006900401
2023,69,42,1,0,3,2,1,3,      006904201
2023,72,112,1,0,1,2,1,5,      007211201
2023,73,95,1,0,1,2,1,2,      007309501
2023,136,6,1,2,2,2,1,6,      013600601
2023,136,22,1,0,5,2,1,3,      013602201
2023,136,88,1,0,1,2,1,3,      013608801
2023,143,18,1,1,6,2,1,3,      014301801
2023,143,24,1,0,3,2,1,4,      014302401
2023,144,142,1,0,8,2,1,6,      014414201
2023,190,29,1,0,3,2,1,4,      019002901
2023,190,122,1,0,1,2,1,6,      019012201
2023,202,75,1,0,2,2,1,4,      020207501
2023,205,78,1,0,1,2,1,3,      020507801
2023,205,91,1,0,2,2,1,5,      020509101
2023,218,81,1,0,1,1,1,5,      021808101
2023,218,81,1,0,1,2,2,6,      021808101
2023,221,25,1,0,1,2,1,3,      022102501
2023,231,7,1,2,0,2,1,7,      023100701
2023,258,27,1,0,2,2,1,3,      025802701
2023,258,74,1,0,2,2,1,5,      025807401
2023,303,26,1,2,6,2,1,6,      030302601
2023,335,29,1,0,3,2,1,4,      033502901
2023,336,109,1,1,3,2,1,3,      033610901
2023,336,113,1,1,0,2,1,4,      033611301
2023,443,29,1,0,6,2,1,3,      044302901
2023,443,65,1,2,0,2,1,3,      044306501
2023,472,81,1,2,3,2,1,4,      047208101
2023,473,54,1,1,0,2,1,5,      047305401
2023,474,137,1,2,5,2,1,4,      047413701
2023,478,74,1,1,3,2,1,3,      047807401
2023,494,68,1,0,3,2,1,3,      049406801
2023,508,17,1,0,4,2,1,4,      050801701
2023,518,25,1,1,2,2,1,5,      051802501
2023,530,143,1,0,2,2,1,8,      053014301
2023,549,81,1,2,1,2,1,4,      054908101
2023,568,74,1,1,6,2,1,3,      056807401
2023,573,94,1,0,7,2,1,3,      057309401
2023,576,5,1,2,4,2,1,6,      057600501
2023,618,86,1,0,2,2,1,3,      061808601
2023,625,98,1,0,4,2,1,5,      062509801
2023,626,6,1,0,3,2,1,5,      062600601
2023,626,9,1,1,4,2,1,4,      062600901
2023,643,52,1,0,1,2,1,2,      064305201
2023,643,176,1,0,4,2,1,2,      064317601
2023,655,99,1,0,8,2,1,3,      065509901
2023,721,76,1,0,8,2,1,4,      072107601
2023,742,137,1,0,6,2,1,4,      074213701
2023,910,117,2,0,2,2,1,4,      091011702
2023,960,62,1,0,1,2,1,4,      096006201
2023,1003,104,1,0,2,2,1,4,      100310401
2023,1003,136,1,1,1,2,1,6,      100313601
2023,1022,3,1,0,1,2,1,8,      102200301
2023,1023,30,1,0,6,2,1,3,      102303001
2023,1023,83,1,0,6,1,1,4,      102308301
2023,1023,83,1,0,3,2,2,6,      102308301
2023,1023,106,1,1,4,2,1,3,      102310601
2023,1031,32,1,1,3,2,1,3,      103103201
2023,1044,115,1,1,4,2,1,5,      104411501
2023,1063,13,1,0,8,2,1,6,      106301301
2023,1159,87,1,1,0,2,1,3,      115908701
2023,1176,55,1,0,2,2,1,4,      117605501
2023,1180,44,1,1,3,2,1,7,      118004401
2023,1182,24,1,0,1,2,1,4,      118202401
2023,1191,25,1,0,1,2,1,4,      119102501
2023,1203,62,1,1,2,2,1,3,      120306201
2023,1203,72,1,0,2,2,1,4,      120307201
2023,1214,63,1,1,3,2,1,4,      121406301
2023,1226,3,1,0,3,2,1,2,      122600301
2023,1226,47,1,0,6,2,1,6,      122604701
2023,1226,97,1,0,4,2,1,4,      122609701
