ID1,QHCLUSTER,QHNUMBER,QHHOME,PS94_1A,PS94_1M,PS94_1S,PS2,HVIDX,HHID
2023,110,15,1,0,1,2,1,2,      011001501
2023,112,6,1,0,1,2,1,1,      011200601
2023,112,8,1,0,1,2,1,1,      011200801
2023,382,54,1,0,1,2,1,4,      038205401
2023,458,113,1,0,1,2,1,1,      045811301
2023,501,1,1,0,1,2,1,3,      050100101
2023,501,13,1,0,1,2,1,1,      050101301
2023,515,10,1,0,1,1,1,5,      051501001
2023,515,10,1,0,1,2,2,6,      051501001
2023,558,18,1,0,1,2,1,2,      055801801
2023,568,24,1,0,1,2,1,2,      056802401
2023,615,79,1,0,1,2,1,2,      061507901
2023,747,86,1,0,1,2,1,1,      074708601
2023,1097,86,1,0,1,2,1,1,      109708601
2023,1151,109,1,0,1,2,1,1,      115110901
2023,1151,110,1,0,1,1,1,1,      115111001
2023,1151,110,1,0,1,2,2,2,      115111001
2023,1158,61,1,0,1,2,1,1,      115806101
2023,1182,61,1,0,1,2,1,2,      118206101
2023,1182,74,1,0,1,2,1,1,      118207401
2023,1374,8,1,0,1,2,1,2,      137400801
2023,1374,9,1,0,1,2,1,1,      137400901
2023,1377,54,1,0,1,2,1,1,      137705401
2023,1377,58,1,0,1,2,1,1,      137705801
2023,1377,91,1,0,1,2,1,1,      137709101
2023,1378,55,1,0,1,2,1,1,      137805501
2023,1378,57,1,0,1,2,1,1,      137805701
2023,1378,65,1,0,1,2,1,2,      137806501
2023,1638,72,1,0,1,2,1,2,      163807201
2023,1672,84,1,0,1,2,1,1,      167208401
2023,1677,13,1,0,1,2,1,5,      167701301
2023,1677,22,1,0,1,2,1,2,      167702201
2023,1763,95,1,0,1,2,1,2,      176309501
2023,1777,3,1,0,1,2,1,6,      177700301
2023,1777,46,1,0,1,2,1,2,      177704601
2023,1777,48,1,0,1,2,1,2,      177704801
2023,2119,102,1,0,1,2,1,2,      211910201
2023,2176,49,1,0,1,2,1,5,      217604901
2023,2184,110,1,0,1,2,1,1,      218411001
2023,2306,50,1,0,1,2,1,2,      230605001
2023,2306,51,1,0,1,2,1,1,      230605101
2023,2663,50,1,0,1,2,1,2,      266305001
2023,2850,16,1,0,1,2,1,1,      285001601
2023,2867,63,1,0,2,2,1,2,      286706301
2023,3025,122,1,0,1,2,1,2,      302512201
2023,3269,53,1,0,1,2,1,2,      326905301
2023,3269,56,1,0,1,2,1,1,      326905601
2023,3271,21,1,0,1,2,1,1,      327102101
2023,3271,113,1,0,1,2,1,4,      327111301
2023,3294,130,1,0,1,2,1,2,      329413001
2023,3302,18,1,0,1,2,1,1,      330201801
2023,3302,25,1,0,1,2,1,1,      330202501
2023,3302,58,1,0,1,2,1,1,      330205801
2023,3302,59,1,0,1,2,1,1,      330205901
2023,3302,60,1,0,1,2,1,1,      330206001
2023,3302,118,1,0,1,2,1,2,      330211801
2023,3420,36,1,0,1,2,1,3,      342003601
2023,3420,37,1,0,1,2,1,2,      342003701
2023,3420,41,1,0,1,2,1,2,      342004101
2023,3420,56,1,0,1,2,1,2,      342005601
2023,3428,1,1,0,1,2,1,2,      342800101
2023,3428,45,1,0,1,2,1,2,      342804501
2023,3446,16,1,0,1,2,1,2,      344601601
2023,3446,18,1,0,1,1,1,1,      344601801
2023,3446,18,1,0,1,2,2,2,      344601801
2023,3446,24,1,0,1,2,1,2,      344602401
2023,3446,30,1,0,1,2,1,1,      344603001
2023,3446,38,1,0,1,2,1,1,      344603801
2023,3460,139,1,0,1,2,1,1,      346013901
2023,3479,147,1,0,1,2,1,1,      347914701
2023,3602,74,1,0,1,1,1,1,      360207401
2023,3602,74,1,0,1,2,2,2,      360207401
2023,3602,101,1,0,1,2,1,6,      360210101
2023,3604,29,1,2,3,2,1,2,      360402901
2023,3606,113,1,0,1,2,1,1,      360611301
2023,3606,114,1,0,1,2,1,3,      360611401
2023,3640,44,1,0,1,2,1,2,      364004401
2023,3662,8,1,0,1,2,1,1,      366200801
2023,3662,9,1,0,1,2,1,1,      366200901
2023,3663,68,1,0,1,2,1,2,      366306801
2023,3663,94,1,0,1,2,1,2,      366309401
2023,3714,40,1,0,1,2,1,2,      371404001
2023,3714,45,1,0,1,2,1,1,      371404501
2023,3714,46,1,0,1,2,1,1,      371404601
2023,3714,53,1,0,1,2,1,2,      371405301
2023,3714,59,1,0,1,2,1,1,      371405901
2023,3714,75,1,98,1,2,1,2,      371407501
2023,3721,61,1,0,2,2,1,1,      372106101
2023,3731,18,1,0,1,2,1,2,      373101801
2023,3734,67,1,0,1,2,1,2,      373406701
2023,3734,139,1,0,1,2,1,1,      373413901
2023,3757,67,1,0,1,2,1,2,      375706701
2023,3778,173,1,0,1,2,1,1,      377817301
2023,3794,24,1,0,1,2,1,2,      379402401
2023,3808,130,1,0,1,2,1,1,      380813001
2023,3818,81,1,0,1,2,1,1,      381808101
2023,3832,12,1,0,1,2,1,1,      383201201
2023,3845,80,1,0,1,2,1,2,      384508001
2023,3850,21,1,0,1,2,1,1,      385002101
2023,3882,39,1,0,1,2,1,1,      388203901
2023,3889,26,1,0,1,2,1,2,      388902601
2023,3890,55,1,0,1,1,1,1,      389005501
2023,3890,55,1,98,98,2,2,4,      389005501
2023,3892,3,1,0,1,2,1,2,      389200301
2023,3892,18,1,0,1,2,1,2,      389201801
2023,3892,36,1,0,1,2,1,2,      389203601
2023,3955,62,1,0,1,2,1,2,      395506201
2023,3979,6,1,0,1,2,1,1,      397900601
2023,4062,5,1,0,3,2,1,1,      406200501
2023,4062,81,1,0,1,2,1,5,      406208101
2023,4142,50,1,0,1,2,1,2,      414205001
2023,4162,2,1,1,10,2,1,1,      416200201
2023,4313,25,1,0,1,2,1,2,      431302501
2023,4313,29,1,0,1,2,1,2,      431302901
2023,4363,22,1,0,1,1,1,1,      436302201
2023,4363,22,1,0,1,2,2,2,      436302201
2023,4363,49,1,0,1,2,1,1,      436304901
2023,4363,77,1,0,1,2,1,2,      436307701
2023,4369,8,1,0,1,2,1,1,      436900801
2023,4381,48,1,0,1,2,1,2,      438104801
2023,4381,56,1,0,1,2,1,2,      438105601
2023,4391,23,1,0,1,2,1,1,      439102301
2023,4441,9,1,0,1,2,1,1,      444100901
2023,4441,16,1,0,1,2,1,1,      444101601
2023,4441,46,1,0,1,1,1,2,      444104601
2023,4441,46,1,0,1,2,2,5,      444104601
2023,4451,34,1,0,1,2,1,1,      445103401
2023,4451,69,1,0,1,2,1,2,      445106901
2023,4507,11,1,0,1,2,1,1,      450701101
2023,4507,13,1,0,1,2,1,2,      450701301
2023,4507,35,1,0,1,2,1,2,      450703501
2023,4507,48,1,0,1,2,1,1,      450704801
2023,4507,49,1,0,1,2,1,1,      450704901
2023,4507,52,1,0,1,1,1,1,      450705201
2023,4507,52,1,0,1,2,2,2,      450705201
2023,4510,6,1,0,1,1,1,1,      451000601
2023,4510,6,1,0,1,2,2,2,      451000601
2023,4510,7,1,0,1,2,1,1,      451000701
2023,4510,8,1,0,1,2,1,1,      451000801
2023,4510,9,1,0,1,2,1,1,      451000901
2023,4510,65,1,0,1,2,1,1,      451006501
2023,4510,66,1,0,1,2,1,1,      451006601
2023,4510,68,1,0,1,2,1,2,      451006801
2023,4511,42,1,0,1,2,1,1,      451104201
2023,4511,74,1,0,1,2,1,2,      451107401
2023,4511,80,1,0,1,2,1,2,      451108001
2023,4521,14,1,0,1,2,1,2,      452101401
2023,4525,51,1,0,1,2,1,2,      452505101
2023,4530,14,1,0,1,2,1,6,      453001401
2023,4530,85,1,0,1,2,1,2,      453008501
2023,4565,74,1,0,1,2,1,1,      456507401
2023,4565,164,1,0,1,2,1,2,      456516401
2023,4565,237,1,0,1,2,1,1,      456523701
2023,4569,88,1,0,1,2,1,2,      456908801
2023,4581,146,1,8,0,2,1,1,      458114601
2023,4608,28,1,1,0,1,1,1,      460802801
2023,4608,28,1,1,0,2,2,2,      460802801
2023,4608,62,2,0,8,2,1,2,      460806202
2023,4703,127,1,0,1,1,1,2,      470312701
2023,4703,127,1,0,1,2,2,4,      470312701
2023,4727,76,1,0,1,2,1,1,      472707601
2023,4746,16,1,0,1,2,1,2,      474601601
2023,4746,36,1,0,1,2,1,1,      474603601
2023,4746,37,1,0,1,2,1,2,      474603701
2023,4774,147,1,0,1,2,1,3,      477414701
2023,4777,47,1,0,1,2,1,1,      477704701
2023,4789,50,1,0,1,2,1,1,      478905001
2023,4800,4,1,0,1,2,1,1,      480000401
2023,4800,6,1,0,1,2,1,2,      480000601
2023,4800,48,1,0,1,2,1,1,      480004801
2023,4800,64,1,0,1,2,1,2,      480006401
2023,4813,73,1,2,7,2,1,1,      481307301
2023,4862,95,1,0,1,2,1,2,      486209501
2023,4881,92,1,0,1,2,1,2,      488109201
2023,4899,90,1,0,1,2,1,2,      489909001
2023,4904,7,1,0,1,2,1,2,      490400701
2023,4904,11,1,0,1,1,1,1,      490401101
2023,4904,11,1,0,1,2,2,2,      490401101
2023,4924,85,1,0,1,2,1,2,      492408501
2023,4972,42,1,0,1,2,1,1,      497204201
2023,4972,58,1,0,1,2,1,2,      497205801
2023,4979,26,1,0,1,1,1,1,      497902601
2023,4979,26,1,0,1,2,2,2,      497902601
2023,4979,30,1,0,1,2,1,2,      497903001
2023,5033,37,1,0,1,2,1,1,      503303701
2023,5046,121,1,0,1,2,1,2,      504612101
2023,5263,4,1,0,1,2,1,1,      526300401
2023,5263,9,1,0,1,2,1,8,      526300901
2023,5354,6,1,0,3,2,1,2,      535400601
2023,5359,21,1,0,1,2,1,2,      535902101
